0	-90	0.656993
0	-85	0.564413
0	-80	0.202256
0	-75	0.169879
0	-70	0.201509
0	-65	0.65044
0	-60	0.356163
0	-55	0.0343176
0	-50	0.32404
0	-45	0.0606228
0	-40	0.0569309
0	-35	0.14902
0	-30	0.0440756
0	-25	0.0179545
0	-20	0.104619
0	-15	0.136529
0	-10	0.100913
0	-5	0.222886
0	0	0.219691
0	5	0.214518
0	10	0.451701
0	15	0.551672
0	20	0.73064
0	25	0.699749
0	30	0.271363
0	35	0.755154
0	40	0.799366
0	45	1.0051
0	50	0.7693
0	55	1.12296
0	60	0.96509
0	65	1.36501
0	70	1.17791
0	75	0.551476
0	80	0.76273
0	85	0.619097
0	90	0.685734
5	-90	0.646182
5	-85	0.529907
5	-80	0.127981
5	-75	0.0434055
5	-70	0.179751
5	-65	0.195502
5	-60	0.176841
5	-55	0.0178622
5	-50	0.219586
5	-45	0.0135345
5	-40	0.0419036
5	-35	0.00969416
5	-30	0.0389012
5	-25	0.0484623
5	-20	0.037343
5	-15	0.053834
5	-10	0.0326698
5	-5	0.143106
5	0	0.0765
5	5	0.0662678
5	10	0.354746
5	15	0.40075
5	20	0.609865
5	25	0.327601
5	30	0.77903
5	35	0.732281
5	40	0.565572
5	45	0.96428
5	50	1.14058
5	55	1.42933
5	60	1.26602
5	65	1.10865
5	70	0.486273
5	75	0.448532
5	80	0.956124
5	85	0.4626
5	90	0.657226
10	-90	0.688956
10	-85	0.426144
10	-80	0.118682
10	-75	0.0161834
10	-70	0.0901062
10	-65	0.225896
10	-60	0.198171
10	-55	0.0744294
10	-50	0.234837
10	-45	0.0509317
10	-40	0.0579108
10	-35	0.0406742
10	-30	0.0517087
10	-25	0.0408809
10	-20	0.0539012
10	-15	0.0385732
10	-10	0.122626
10	-5	0.17534
10	0	0.105095
10	5	0.0626398
10	10	0.19899
10	15	0.0483202
10	20	0.36242
10	25	0.706943
10	30	0.535539
10	35	0.662201
10	40	0.524517
10	45	0.848078
10	50	1.18224
10	55	1.82067
10	60	1.1566
10	65	0.9647
10	70	0.689691
10	75	0.765005
10	80	0.80405
10	85	0.171123
10	90	0.65407
15	-90	0.666139
15	-85	0.250946
15	-80	0.127811
15	-75	0.0763413
15	-70	0.00518116
15	-65	0.00591231
15	-60	0.318971
15	-55	0.0825016
15	-50	0.215422
15	-45	0.172061
15	-40	0.0619665
15	-35	0.0538661
15	-30	0.00196346
15	-25	0.0550042
15	-20	0.0906829
15	-15	0.119478
15	-10	0.122951
15	-5	0.358251
15	0	0.202608
15	5	0.0711013
15	10	0.329946
15	15	0.268272
15	20	0.551846
15	25	0.735025
15	30	0.590758
15	35	0.889061
15	40	0.934824
15	45	0.674359
15	50	1.58184
15	55	2.27949
15	60	1.11554
15	65	0.632602
15	70	0.390986
15	75	0.675968
15	80	0.524751
15	85	0.130684
15	90	0.62717
20	-90	0.63967
20	-85	0.229212
20	-80	0.0953036
20	-75	0.128008
20	-70	0.0160137
20	-65	0.0197258
20	-60	0.193357
20	-55	0.0734733
20	-50	0.193686
20	-45	0.223201
20	-40	0.0637335
20	-35	0.0863498
20	-30	0.139879
20	-25	0.100678
20	-20	0.0810831
20	-15	0.143547
20	-10	0.0839521
20	-5	0.232195
20	0	0.313914
20	5	0.228805
20	10	0.0855444
20	15	0.478515
20	20	0.530495
20	25	0.861796
20	30	0.642904
20	35	1.14175
20	40	1.13869
20	45	1.41159
20	50	1.44484
20	55	2.38588
20	60	1.13601
20	65	0.834212
20	70	0.308741
20	75	0.988465
20	80	0.633805
20	85	0.329031
20	90	0.657368
25	-90	0.640457
25	-85	0.33432
25	-80	0.0131262
25	-75	0.295862
25	-70	0.179377
25	-65	0.150123
25	-60	0.534838
25	-55	0.127423
25	-50	0.0992824
25	-45	0.0485915
25	-40	0.0130485
25	-35	0.140044
25	-30	0.15281
25	-25	0.158997
25	-20	0.195797
25	-15	0.25865
25	-10	0.248521
25	-5	0.298168
25	0	0.0042321
25	5	0.0709216
25	10	0.569086
25	15	0.402224
25	20	0.619153
